alpha_0,sigma_0,rho_0,eta_0,mu_0,lambda_0,phi_L_0,phi_H_0,alpha,sigma,rho,eta,mu,lambda,phi_L,phi_H,fit_rr,fit_wbr,fit_lbr,fit_sp,obj_val,tol
0.22,0.5,-0.5,0.01,0.4,0.4,4.0,6.0,0.1400607642759319,0.9503054924671259,-1.0796528785447945,0.01,0.08390720844554879,0.0733485247968708,6.152604577056484,6.0,25.887687013154412,4.43504266272173,0.5335776477982475,77.87362675411951,51.30428244307028,0.1
0.22,0.5,0.5,0.01,0.4,0.4,4.0,6.0,0.05196484672823704,0.9984352161241229,0.9949426176709556,0.01,0.18152768342271547,0.781270788353231,1.3319401784735547,6.0,15.741998219090139,11140.27254954971,0.4067870113150122,323998.9251409077,143.22997481270554,0.1
0.22,0.5,-0.5,0.04,0.4,0.4,4.0,6.0,0.2711452906594919,0.8567384848582563,-1.7109751928064587,0.04,0.01229698233616906,0.011654350972904674,9.42190005195545,6.0,11.682897239208293,1.7657222278733187,0.788309542899098,32.68261576976121,11.132295244582949,0.1
0.22,0.5,0.5,0.04,0.4,0.4,4.0,6.0,0.18915630723462482,0.8969680279388759,0.9993546868892197,0.04,0.3937292734275802,0.9187802000977773,3.081940659080257,6.0,7.368787653041148,0.31000896355115165,0.79977938894832,13.661150588680021,39.78403368573152,0.1
0.22,0.5,-0.5,0.08,0.4,0.4,4.0,6.0,0.2832423880417788,0.9198447368083815,-1.591531107006539,0.08,0.11791168052664015,0.01394515113514944,6.317963977631296,6.0,11.602674460568778,3.594535662184149,0.8726030386401084,65.42106083316574,5.2233307726681515,0.1
0.22,0.5,0.5,0.08,0.4,0.4,4.0,6.0,0.2142213673058653,0.995427502181285,0.9993717342057882,0.08,0.5083794023125169,0.932355780723154,2.591259080387053,6.0,6.5733725496712,0.03591563383750942,1.0113712449189773,1.4068562228519084,22.411471485815493,0.1
0.22,0.5,-0.5,0.1,0.4,0.4,4.0,6.0,0.29428565410075497,0.9230595042798917,-1.60227168120474,0.1,0.09863734288882955,0.013385224465123658,6.604698724692627,6.0,10.025547687386258,2.807640106353061,0.8943368591830336,51.008423035438625,4.011387273374819,0.1
0.22,0.5,0.5,0.1,0.4,0.4,4.0,6.0,0.2058764345344877,0.9968526404035672,0.9898210580225859,0.1,0.12628569538787157,0.9155380635206756,4.617902986143302,6.0,5.5919553466853085,0.17761013433364695,0.8289075994304206,6.8484107155754534,19.23674003742703,0.1
0.22,0.5,-0.5,0.3,0.4,0.4,4.0,6.0,0.2836368629059685,0.4484570955765106,-1.1181148082695656,0.3,0.5677169699826039,0.03210388255498456,4.511072209654594,6.0,6.2227482015674145,0.172689379314806,0.6050333077381455,5.433897173832747,2.731372862942769,0.1
0.22,0.5,0.5,0.3,0.4,0.4,4.0,6.0,0.27611387129491877,0.991766764503503,0.9968353216460424,0.3,0.38005115653838667,0.9248929074659915,3.3906820922827,6.0,3.2511468019323213,0.11152807216025462,1.1019850414519032,2.2607712049312108,7.122398086560129,0.1
0.22,0.5,-0.5,0.01,0.4,0.4,7.0,6.0,0.21557427183617223,0.997317172193386,-1.5966204287935515,0.01,0.0671576280718648,0.01835932493014102,6.548627882562867,6.0,19.536287763863044,5.75993586894756,0.7313663648966757,101.11501392893774,39.4452266288177,0.1
0.22,0.5,0.5,0.01,0.4,0.4,7.0,6.0,0.0630915584656754,0.6515795461843038,0.9977509572499241,0.01,0.4121337041654257,0.9398939598659297,3.021540013893094,6.0,19.181099410764812,0.2665025526886723,0.5529407442992414,11.489786768870669,120.51524980137988,0.1
