YEAR,L_SHARE,OUTPUT,K_STR,K_EQ,REL_P_EQ,DPR_ST,DPR_EQ,L_U,L_S,W_U,W_S,SKILL_PREMIUM,LABOR_INPUT_RATIO
1987,0.917883058772268,142.74787734194092,9.380453425830881,1.4297561919954902,1.0,0.0294117647058823,0.1794871794871794,0.0,0.0,0.0,0.0,1.925632705639595,2.144722877191521
1988,0.8963628583654257,157.0382797010828,9.80127145407654,1.54736983850644,0.9500747816442774,0.0273972602739726,0.1860465116279069,9.851460510079397,20.807247302090257,10.39864832473019,18.738279380951298,1.8098454529663437,2.1282039790941982
1989,0.8819652329184392,165.48075198512987,10.19889169970137,1.6571048366487502,0.9038180442807321,0.0259740259740259,0.1777777777777777,9.80061387041843,21.10036084033782,10.783607326938467,19.828924733792483,1.870739595903114,2.555885048671415
1990,0.8471865626874625,175.27659039476995,10.575681746857011,1.81732440383077,0.8561909623063513,0.0246913580246913,0.1836734693877552,9.723201777204084,21.496647305270088,11.218396547882813,20.931373612417733,1.8486386349179365,2.265066715156963
1991,0.9060691117038004,174.12739434478564,10.77380396307357,1.9198607877942897,0.8190151382042606,0.024390243902439,0.18,9.666130263078335,21.855595762968196,11.637230227969352,22.959857796945634,2.071404389916838,1.9209045608525548
1992,0.8764847650197969,185.07216433550843,10.96622031750509,2.0247886872864003,0.7703925033557711,0.0235294117647058,0.1764705882352941,9.551973492832651,22.232620409192815,12.059371864810617,24.237821740124218,1.887099025265716,2.14984354249498
1993,0.9314895558172348,187.49292175453368,11.30330564785466,2.04411527189902,0.7267644146752844,0.0222222222222221,0.196078431372549,9.522419471266236,22.284393914236276,12.32941638594127,24.940928608443336,2.129588791278588,2.0490802854114603
1994,0.9249398251763016,188.4807301366163,11.20238436209741,2.11990155174101,0.6952151400738843,0.0215053763440858,0.1923076923076923,9.412742837793617,23.07918417240239,12.936890619449352,28.198585506832266,1.974928283513846,2.429269168121729
1995,0.8950018317893965,187.38512949039267,11.2450186540009,2.25920644975144,0.6535027182946822,0.0210526315789473,0.1851851851851851,9.286255155418319,23.447470109759198,13.359747704498353,29.4346628295282,2.151906041027206,2.8517134343209607
1996,0.8474139132859334,198.63809771238704,11.286636954221601,2.50007157224394,0.6064656149242227,0.0206185567010308,0.1818181818181817,9.212276828649403,23.90390657788891,13.837197818481881,31.514284181329494,2.404621568628634,2.716666607725508
1997,0.9492917383903756,209.21164056724243,11.2235123149909,2.97482845654967,0.5662120458808116,0.0294117647058824,0.180327868852459,9.171248969443948,24.5575524356825,14.433754112722337,34.73287246627376,2.315381189262769,2.6177342739237197
1998,0.9268361308702112,226.21225010633773,11.44343672714951,3.71064911295988,0.5180442033154055,0.0277777777777777,0.1764705882352941,9.12988170237545,24.90047692812415,14.922670454618236,36.564052438170954,2.6245039156202807,2.6185870928500106
1999,0.8682935716001027,237.1249557614922,11.80029759180756,4.63844166419717,0.47066116806736263,0.0260869565217392,0.1772151898734177,9.14347916720668,25.155809987952196,15.402827855772944,39.07542839371062,2.3799059684411827,2.9048959308756115
2000,0.8507372529583049,240.62624165288833,12.150979443201571,5.56597677380978,0.4317115486378693,0.0245901639344262,0.1868131868131868,9.171309646331046,25.231245374563606,15.811721095793922,42.108794705884556,2.916368772537532,3.0902998324911244
2001,0.8544682727040018,251.54420796670928,12.745789416093551,6.54065489935891,0.3940239666395768,0.0232558139534884,0.1919191919191919,9.148370031354865,25.220062361926647,16.179773987426675,43.62702918711044,2.616735709077126,2.628864578403023
2002,0.8032501256491875,261.67555292259084,13.706867568867619,7.66604223414341,0.36386810052785795,0.0214285714285714,0.1909090909090909,9.095445794037554,25.25121885009169,16.575447612149336,43.96050186185625,2.4816144704036733,2.910066587896396
2003,0.7868830634424999,289.23492174923445,13.931308916206252,8.971062029608671,0.3321637621864851,0.0277777777777777,0.1967213114754098,8.947042907295982,26.270182795303676,17.44479419931489,49.311195547341406,3.1496266417227736,3.085924494225546
2004,0.7418102375487403,297.08853448377477,14.53031076258669,10.30873655656666,0.3118898269439929,0.0246913580246913,0.1911764705882352,8.935187671235857,26.069694087900423,17.78137308292283,51.16389059171402,2.720054682848614,2.729794200542023
