YEAR,L_SHARE,OUTPUT,K_STR,K_EQ,REL_P_EQ,DPR_ST,DPR_EQ,L_U,L_S,W_U,W_S,SKILL_PREMIUM,LABOR_INPUT_RATIO
1987,0.6418133333333333,76.78057680162796,225.89438418041473,7.6802015534313295,1.0,0.0415647921760391,0.1647509578544062,0.0,0.0,0.0,0.0,1.0351087653841209,0.0845880796159284
1988,0.5239122776114145,83.25114805212412,218.35766516902913,8.15840459069434,0.9500747816442774,0.0408653846153846,0.1575091575091575,36.16190670731105,5.681488715216663,13.897196246428969,19.05691358599097,1.444483870731109,0.098412042155083
1989,0.533758569816888,82.36291598049925,211.6004578042745,8.17705490220601,0.9038180442807321,0.039906103286385,0.1580882352941176,36.520997192496104,5.167761730002783,14.015672777284781,20.136132505367875,1.4195955959634514,0.1622319675200899
1990,0.548705563323588,83.54287151118935,204.9839229299178,8.21941977477822,0.8561909623063513,0.0416666666666666,0.1557971014492754,37.058502493408,5.1534289709438985,14.24553352047921,20.60279618706205,1.3813793578844296,0.2237251679927987
1991,0.5207402411263806,81.53238066281544,198.87527639960845,8.252809745948259,0.8190151382042606,0.0416666666666666,0.1575091575091575,37.359748092697465,4.932702508568262,14.576988075233839,21.582562604065913,1.6799438712698107,0.0978460412254497
1992,0.5201356506994489,77.97910132734813,192.95052516912614,8.25510874082728,0.7703925033557711,0.0410022779043279,0.1561338289962824,37.87088177704366,5.002524905150498,14.647322206406997,20.899357834347107,1.406834269232747,0.1507146085011479
1993,0.5321616397716546,71.33129092677827,187.5897711585213,8.91117655897882,0.7267644146752844,0.0398230088495574,0.1474820143884891,37.933855456387676,5.011018345574028,15.265238119924243,22.674017187479706,1.3161662080914125,0.1991470325822713
1994,0.4905004542402338,76.68282558321368,183.2294763934024,10.213041954071091,0.6952151400738843,0.0399159663865545,0.1456953642384106,37.756991110742355,4.940432931144838,15.790240426709877,24.513456544989896,1.1837742454510982,0.105022590293996
1995,0.5036365804220818,76.38123085491507,178.04065037958543,11.936574954461118,0.6535027182946822,0.0412371134020618,0.1437125748502994,38.628584753037366,5.823661620388086,15.785129993355547,24.130308620421534,1.95804607948522,0.132513695389753
1996,0.5111343480113086,75.53498420685601,173.3228610910189,13.198641972875617,0.6064656149242227,0.0403225806451612,0.1477272727272727,38.93973415017683,5.619779113295984,15.869144382557213,25.62681949085558,1.751473445680343,0.0928887172726781
1997,0.5221312403305536,75.60051078701525,168.78170828638204,13.75576632115218,0.5662120458808116,0.0409356725146199,0.1497175141242938,39.280995229244624,5.295545331928433,16.192222084629492,27.78008423792778,1.556399438967117,0.130046911101491
1998,0.4849675906771479,73.60298809017439,164.34116597618225,13.777723602589438,0.5180442033154055,0.0396975425330813,0.1511627906976743,39.64256489318889,5.122696288668343,16.469847179865564,28.53589757496455,2.3651711351086977,0.1372636228395584
1999,0.4645411812793787,69.53638043805954,159.3744931251107,13.621595825992468,0.47066116806736263,0.040590405904059,0.1510574018126887,40.17468697076445,5.2132377584992895,17.072094080104502,30.165621280106375,1.3387689795740831,0.1057363725102699
2000,0.4601487406160107,70.07856859050769,155.13582618776076,13.545414209613648,0.4317115486378693,0.0410714285714285,0.1504702194357366,40.062059219712275,4.863760713146509,17.773408193629855,32.066819333638385,1.6060875448909766,0.1161699929236095
2001,0.4719281360282322,69.05567671905943,150.50539974163866,13.417714176720091,0.3940239666395768,0.0403508771929823,0.1508196721311475,40.56281999312442,5.085148190442698,18.188450613935263,32.33088602278891,1.6251632612238078,0.1988295853016107
2002,0.452462017206663,67.19243680884676,147.2625995229208,12.67493310396943,0.36386810052785795,0.0395869191049913,0.1514084507042253,40.21764115337303,4.274003886198119,18.61318964726356,32.92973855888655,1.5692803427760644,0.1116114878445577
2003,0.4281952187147303,69.46828211428365,143.72331244298314,12.53522884026094,0.3321637621864851,0.0404721753794266,0.1476014760147601,40.47399353267351,4.79589446989129,19.173373116458627,32.20110322071876,1.0616070128040096,0.0942365058276261
2004,0.4003688939132504,79.34156087556137,142.37084623136323,13.337588245259479,0.3118898269439929,0.0397553516819572,0.1438848920863309,39.379481861217606,4.381342600425284,19.988585698689555,33.392275948034076,2.8344503330969557,0.1078540144681889
2005,0.3356050881082973,96.3165293317638,142.8753215055356,15.166435999675638,0.2920120745007541,0.0381991814461117,0.1394557823129252,38.27996953143004,4.355322812575224,20.700474697672753,34.229035350424724,1.2600732116412752,0.1168430838517292
2006,0.3041950616807274,111.7781399319298,147.05806950793115,17.44671583034178,0.27154907496304725,0.038231780167264,0.1392405063291139,36.00223134482625,3.2826549540732564,21.70714695799684,37.38664632512358,1.8908427755447004,0.1677325980053708
2007,0.2803116489123315,112.80252164338607,149.4315501298317,19.691183514762102,0.2547452457378451,0.0396475770925109,0.1407185628742514,36.25145626398488,4.394555588187986,22.610734528022277,39.69403207069784,1.7765546223954627,0.0883642507675202
2008,0.285723601623763,123.02299227942345,151.80860746577747,22.52132372450988,0.23574145354812562,0.040082219938335,0.1401098901098901,35.751523732841186,5.078152887863717,23.397340930748584,41.59597302345469,1.498778855401984,0.07820374178245
2009,0.2603606093615361,110.42905401850079,153.77843655522193,23.362087608869153,0.22838324480601288,0.0410958904109589,0.1480446927374301,35.80529712902053,4.809898652685481,23.665534860930418,43.040010789901835,1.29939036598171,0.1181671858129339
2010,0.2408476182272375,117.1907822216676,155.91122567269764,26.338341808987145,0.20973249811306424,0.0395537525354969,0.144,35.10689389823003,6.156249259135131,24.59192003789423,43.02385814421322,2.9478130975268124,0.1377261407388957
