YEAR,L_SHARE,OUTPUT,K_STR,K_EQ,REL_P_EQ,DPR_ST,DPR_EQ,L_U,L_S,W_U,W_S,SKILL_PREMIUM,LABOR_INPUT_RATIO
1987,0.8766531509341013,116.44621430075082,10.2749626472981,4.77415535410369,1.0,0.0263157894736841,0.1265822784810126,0.0,0.0,0.0,0.0,1.1223296375878804,0.6690925782693058
1988,0.9146700294241278,119.92950705776694,10.86853080618462,5.15006615099755,0.9500747816442774,0.0246913580246913,0.1301775147928994,12.600397686468892,10.7815133389368,11.29693733569071,12.234059281259654,1.1187382028409651,0.8245142745878843
1989,0.8931671708536104,121.34646426766234,11.63936047918435,5.56583012198384,0.9038180442807321,0.0340909090909091,0.1284916201117318,12.481091282517104,9.847373805175748,11.453667980421546,13.770792847644806,1.137531639862078,0.8182026240756273
1990,0.9101332409361514,123.22416394267036,12.04966540488036,6.01004837641497,0.8561909623063513,0.0322580645161291,0.1288659793814432,12.940364202384597,10.467991045964654,11.752838703820073,14.938742029336014,1.2817789011165783,0.8557769954746816
1991,0.9037787669286864,116.72544846457889,12.42925911101419,6.31848262943287,0.8190151382042606,0.0315789473684211,0.1306532663316584,12.748098660771223,10.451871524206773,12.072428294783036,15.726594326748582,1.3367144867538148,0.9539837818957808
1992,0.8965843001800844,120.93285966972368,12.791967627459131,6.56724106647803,0.7703925033557711,0.0306122448979592,0.1330049261083743,12.540737908733622,10.373823295956633,12.223868177676499,16.85679261777542,1.2234691939560958,0.678580910524954
1993,0.9242455651967898,120.83109491382689,12.996512400658052,6.692991191959121,0.7267644146752844,0.0294117647058824,0.1330049261083743,12.239912171449065,10.888440465790252,12.65463952840745,17.173051650253562,1.3876934762693518,1.019271786022573
1994,0.926706941753106,121.707916921371,13.200766427037138,7.021872794695699,0.6952151400738843,0.0280373831775702,0.1291866028708134,11.802771273548036,11.057053429134381,13.085597792326464,17.535431833755123,1.491326659096618,1.1424536310101248
1995,0.9429533024821204,128.9640768588137,13.397693449850559,7.388497960229739,0.6535027182946822,0.0272727272727273,0.1308411214953271,11.526196083710403,11.132188836517578,13.275970012763878,18.466679641973272,1.3314943821085805,0.7443232281512896
1996,0.9094640270400772,131.16787223278138,13.47454765272299,7.84398985542536,0.6064656149242227,0.0350877192982456,0.1336405529953916,11.28968779641225,11.666075874820745,13.741077886229322,18.748651911593285,1.3454827594113516,0.7418558028201996
1997,0.9358940114322346,132.207809664628,13.970031510053971,8.78606957930538,0.5662120458808116,0.0330578512396694,0.1283185840707964,10.818237349368852,10.557296263616946,14.177810060457327,19.520999234344842,1.4891920702722887,0.952675654242104
1998,0.9141489227667884,134.31119736282434,14.46730736390291,9.65590184386268,0.5180442033154055,0.0310077519379845,0.1282051282051282,11.14631239006461,10.189598864340477,14.355170024711384,21.073805244927183,1.4352011038510433,0.9776389023789096
1999,0.8755780038415024,136.11566239792373,14.828260685010282,10.82940730426415,0.47066116806736263,0.0294117647058823,0.1306122448979592,11.650955346732738,10.353251236923343,14.857746301390156,22.009352572734038,1.5310534135601173,0.9034961273258828
2000,0.8577315811163515,137.38737006703326,14.920283290342601,11.86875406104084,0.4317115486378693,0.0283687943262411,0.1304347826086956,12.100442101152218,11.094778111514461,15.422085025468833,22.47782823613483,1.170172458186092,0.924340345143941
2001,0.8632628695835382,130.47930610914744,15.01287462863323,12.625008457166558,0.3940239666395768,0.0273972602739726,0.1299212598425196,11.996148548625943,11.23724477824988,15.794084494306457,23.05612080542842,1.7514754369342176,1.1431180081368042
2002,0.8283293380485605,123.07587875197473,15.002767774093503,13.29097904515817,0.36386810052785795,0.0335570469798657,0.1299212598425196,11.865592224252351,11.761463852746502,16.232598761925296,23.399499623790444,1.578983429948215,1.0779457963556949
2003,0.8188929714353443,115.52064295137923,14.86243179228787,13.879149420023008,0.3321637621864851,0.0335570469798657,0.1294117647058823,11.651164086928679,12.472682285509075,16.614817801483607,23.710353261346995,1.343839282977965,1.1589425491893326
2004,0.8093990502701818,113.49882716267665,14.75160009224752,14.86002593946628,0.3118898269439929,0.03125,0.1278195488721804,11.385150487728861,12.834678618216628,17.141143887123757,23.88036584644381,1.3055054932146224,1.0148343324705829
2005,0.7829206306367091,113.10072115109887,14.777414837909252,15.959039333876827,0.2920120745007541,0.0292397660818712,0.1277372262773722,11.31029251423236,12.654075816085518,17.337168131635664,24.948299018298588,1.3993561595195303,0.9895689543011216
2006,0.7398974797095258,111.69166638950789,14.692564288569809,17.05043379473006,0.27154907496304725,0.0282485875706214,0.1267605633802817,11.554794012197176,13.110923763927751,17.560837099790977,25.971702417432745,1.784936729794784,0.9748525256419456
2007,0.739603420809927,111.74032254582352,14.86629297840428,18.21948882340681,0.2547452457378451,0.0322580645161291,0.1296928327645051,11.484224500752221,12.468331658677478,17.66850567495623,27.36539413186387,1.3280286304823747,1.292686415744679
2008,0.7489547153949959,105.02314054838334,14.84168863905191,19.11048993162452,0.23574145354812562,0.0301507537688442,0.1304347826086955,11.864376946603286,12.99635958603766,17.72141221479131,28.77111095404143,1.6942767111455546,1.016691384740833
2009,0.7286626132149254,88.44700756658915,14.678637527301149,18.49863791636549,0.22838324480601288,0.0322580645161291,0.1342756183745583,11.133077991984896,13.647069937459086,17.533140867588546,29.591207921322347,1.794970060256442,1.4075205541321227
2010,0.7154877461540411,87.14253031342942,14.402708763123101,18.028542209057928,0.20973249811306424,0.032967032967033,0.1328413284132842,10.119267783530717,14.528976953919761,17.532210560847677,30.067890158612133,1.679375869462007,1.3320145489572517
2011,0.7057109707361093,85.82125283972249,14.139340789912973,18.61187344657376,0.19869040305986455,0.0324324324324325,0.1291512915129151,9.41207400896857,15.18959209690352,18.00766842267845,30.041254470664928,1.3914434210724016,1.6376977961786825
2012,0.6936344007700112,83.09583095830958,13.87827732939233,18.85352921557612,0.18864892110924922,0.0326086956521739,0.1320754716981131,8.809788597610028,15.660043681164314,18.04974530741653,30.71919967644424,2.2082762677158647,1.3915503974751515
2013,0.6879790806778271,81.89841569367456,13.62954906889039,18.66743960948482,0.17942470361884144,0.0320855614973263,0.1304347826086956,7.915457623096175,16.138961835960895,18.008072719678918,31.350331273685818,1.7055400179125797,1.7009185761915278
2014,0.7010391072891073,79.50293779968935,13.38752238900081,18.921296717141082,0.16940040437319334,0.0319148936170213,0.130081300813008,7.194202987875116,16.675403352238533,18.152085278804616,31.8859907446301,1.4197330014538143,2.583220015679777
2015,0.6772974719729549,78.513707135352,13.14901643005673,18.901871672890998,0.1606264510913028,0.0320855614973263,0.1319148936170213,6.416118515978514,17.156338027527394,18.14800893385762,32.554142861829774,1.477156887605342,2.364681657861459
2016,0.66039154799738,81.0350208536274,12.911710390947999,19.2890854030661,0.15057231044144603,0.0324324324324325,0.1298701298701299,5.81627931945017,17.669443688230743,18.287327957669334,33.18193415719504,2.09774534045004,5.232199289410356
2017,0.6744638416270652,78.05312691429525,12.780257770021539,19.780259649493658,0.1425409382901312,0.0317460317460318,0.1266375545851528,5.275077561746697,17.775646067896446,18.339278849790194,34.093717291681855,2.113957453480676,2.525072696798234
2018,0.6647882554961666,76.76785989466718,12.84816266618156,20.27261685361622,0.13499655825412618,0.0301507537688442,0.1277533039647577,4.815774204772501,17.39661836093489,18.208753646222515,35.58075086253095,1.9617961346686128,4.196495370436635
