YEAR,L_SHARE,OUTPUT,K_STR,K_EQ,REL_P_EQ,DPR_ST,DPR_EQ,L_U,L_S,W_U,W_S,SKILL_PREMIUM,LABOR_INPUT_RATIO
1987,0.7745984455958549,183.39414777910324,746.2201451276761,10.58495064399689,1.0,0.0252173913043478,0.1452702702702702,0.0,0.0,0.0,0.0,1.602552259644675,0.5337398186814156
1988,0.867144327662802,187.85013471607954,739.6289502431911,11.71050841038991,0.9500747816442774,0.0251827782290819,0.1437308868501529,13.607280891551893,6.472496965175654,8.746383297255438,13.154493672113368,1.586051636283044,0.4481305812175198
1989,0.8646240265543215,192.7850516052241,733.679033198109,12.669379061543731,0.9038180442807321,0.0250189537528431,0.1481481481481481,14.233117923273525,5.874505888762221,9.27067288684626,14.542954160430764,1.730884572037371,0.5056582513316726
1990,0.8910194713852077,197.24509680663817,726.8477506227234,13.165870391954329,0.8561909623063513,0.0251617541337167,0.1502732240437158,14.612124125530269,5.713464622648133,9.7271964035685,15.44990992344445,1.5338859115356192,0.3082489619188033
1991,0.9358466173116562,198.4721799939191,717.1687485812954,13.3941908541125,0.8190151382042606,0.026074700493305,0.1517615176151762,14.40198916777425,6.3910817600944165,10.283907719806907,15.858177449845897,1.6419561673179237,0.4772427807963124
1992,0.9573995746967962,205.57397030188625,706.7922287503454,13.88870215453766,0.7703925033557711,0.0258679373723622,0.1528150134048257,14.16960689144293,6.842963120807066,10.637224689097133,16.399956575495445,1.523517930047493,0.4883263665659105
1993,0.9184276081261006,214.42364932557024,696.3847696768689,14.26436379427605,0.7267644146752844,0.0254071661237785,0.1528150134048257,14.23686106370782,6.738579436151323,11.162171278820779,17.487041865842006,1.525603580865151,0.397825615905525
1994,0.9262603073945584,225.07001407389507,686.7103219340701,14.621566371597869,0.6952151400738843,0.02532427424336,0.1542553191489362,14.39573529153796,6.501018220770213,11.549557753082084,18.558486538994227,1.4649372064221262,0.4537764486029877
1995,0.8938220218136972,234.4082428292955,677.7350578046209,15.244293421122629,0.6535027182946822,0.0256410256410256,0.1574803149606298,14.437426089069312,6.52806664565655,11.749440576613665,19.277129421973413,1.529945599492951,0.4798553936661717
1996,0.8728161379187772,245.82609765769217,669.4190403277356,16.0617556806812,0.6064656149242227,0.0257879656160457,0.1601049868766404,14.654803206009237,6.3454323091022475,12.149608469656465,20.334250835699077,1.52523308452966,0.4544190216131391
1997,0.8441502546486327,262.33483433026413,661.4273477388817,16.81734333350207,0.5662120458808116,0.0253916801728795,0.1622340425531915,14.981601089427286,6.044260000112005,12.643460690127588,21.514973992238048,1.725629728917765,0.4275765756188159
1998,0.8520246421922062,294.63526159081243,652.8678200141464,18.185878883674057,0.5180442033154055,0.0256016385048643,0.1591511936339522,14.902356848725415,6.425695249627027,13.150901178786116,22.306370966942982,1.642874901320336,0.4403556582834582
1999,0.8503481528370752,314.76189852014,643.5582449290866,19.48849340128653,0.47066116806736263,0.0255026974006865,0.1618798955613577,15.016126473557641,6.394502986313061,13.837463206694364,23.482010561212256,1.7681108840227,0.3924974327479666
2000,0.8624246178299285,333.48457466579515,633.2089412644217,20.28062391808441,0.4317115486378693,0.0256410256410256,0.1618798955613577,15.102130938431094,6.311820306944638,14.468336064499955,24.568019574625662,1.5912178828313146,0.4007602235625966
2001,0.8656433590600161,325.33278183048805,621.9390136703718,20.412377394723713,0.3940239666395768,0.0259139287366959,0.1634877384196185,15.054258014958123,6.343679697779578,14.853624271846998,25.3041429694184,1.829041914502556,0.4439141727807178
2002,0.8599378136467037,323.05983412322274,608.6201097788132,22.980184903638328,0.36386810052785795,0.0255824577432617,0.1566579634464752,13.809953421508045,8.2710964529728,15.636961694608036,25.596880830475243,1.722400901304959,0.6262380833134524
2003,0.8606761431604358,339.60106028879557,595.3078236021724,24.812515047773122,0.3321637621864851,0.0258503401360543,0.1619537275064266,13.769680059645902,7.884932617829609,16.222350123135485,26.926682044093496,1.7133723964731962,0.5774785661616229
2004,0.8645902059063919,378.13807654678965,582.0627282301626,25.89774194302666,0.3118898269439929,0.0250212044105173,0.1633165829145728,13.708625353092478,7.5698130522612,16.688387662871172,28.070225988193823,1.6220300537895098,0.5225136914806779
2005,0.8657177957669833,405.49949142275915,569.8311709745501,26.26978980565996,0.2920120745007541,0.0251374705420267,0.1636828644501278,13.708970942039093,7.206376909016532,16.762468399089187,28.853876545417034,1.8840811832946356,0.5097821847652966
2006,0.8711561661907531,425.3356392944646,557.6971377277761,26.27168085953297,0.27154907496304725,0.0251851851851852,0.1610389610389611,13.454732692227543,7.387814078670244,16.77046737848218,29.186865166678917,1.6677124690392946,0.5675078201091609
2007,0.875782037139546,467.86847729873267,547.4478348849217,27.281651726544034,0.2547452457378451,0.0255395683453237,0.1592689295039164,13.228618839862191,7.616529705840164,16.815646440456472,29.788515158376573,1.7092207002901587,0.5880921532154451
2008,0.8625499795205867,458.2008620780954,538.2703694346685,29.82237188415372,0.23574145354812562,0.0248891919536311,0.1527093596059113,12.894575423184722,8.173163907700665,17.065711874187496,30.41819016076135,1.915723829364516,0.62987985957073
2009,0.8488712903620852,421.1243593656273,527.3269959357943,31.617318913137485,0.22838324480601288,0.0267824828085413,0.1572481572481572,12.740797756226973,8.386410320583114,17.446506331833522,30.98826042395151,1.6800217927179055,0.6137314062052228
2010,0.8562178460378781,439.00293255131965,516.2912375876183,33.79319930429296,0.20973249811306424,0.0260550458715597,0.1586538461538461,12.35909312133334,8.84969591108586,17.59880641475357,31.38700807998976,1.870516154537856,0.7153930174779795
2011,0.8560998341135873,454.8568168620939,505.3465982006901,37.2290334753066,0.19869040305986455,0.0255395683453237,0.1568181818181817,11.901730241288307,9.439640136778065,18.14089536613005,32.26062284319146,1.859030462065684,0.8460947303076771
2012,0.858606720152514,478.78278782787834,495.8913937739063,40.73316379023448,0.18864892110924922,0.0258342303552205,0.158351409978308,12.098081448255975,8.923609538380806,18.53349842137501,33.618233968256995,1.6251550183490522,0.66923394422577
2013,0.8603072302349591,490.42241616542833,485.58910563432056,43.75254152246777,0.17942470361884144,0.0255319148936169,0.1592356687898088,12.048100492581458,8.908485327733509,18.936409024322387,34.45698566328974,1.6651326710844134,0.7863639336022613
2014,0.8636631330977621,512.6195139364587,475.5017958003385,46.11606412235057,0.16940040437319334,0.0257404795486601,0.161764705882353,12.16269447293893,8.57321087626698,19.167826878662456,35.34977462641353,1.6340887695322537,0.820278967123769
2015,0.8690372167354588,536.5650969529087,465.96685084881267,48.27488314962244,0.1606264510913028,0.0256771016531832,0.160676532769556,12.21592482689737,8.408146853687027,19.32916214408027,36.11758114472532,2.1422070750689586,0.6559513021451628
2016,0.8679348507471192,536.0781940096655,457.83125834606096,51.02005366590519,0.15057231044144603,0.0255781359495445,0.1589958158995816,12.277556808463217,8.332551845826048,19.483344522978612,36.95229750389886,2.0613185451762663,0.6229955856750344
2017,0.8707069568763818,559.4187967552116,449.50205592976135,55.03148312294051,0.1425409382901312,0.0254908715122286,0.1561866125760649,11.984594927170084,8.940413394006708,19.92792844379363,37.66145283760168,1.9806063014260595,0.6731329985534702
2018,0.8720459699819076,576.5185782789597,441.32894683064126,58.47649652396426,0.13499655825412618,0.0252407837927599,0.1568627450980392,12.29953913426392,8.455548159524048,20.29403905150366,38.79407255100408,1.7808502104721162,0.7514761207873664
